交易时间,交易分类,交易对方,商品说明,收/支,金额,收/付款方式,交易状态,来源,是否退款
2024-12-22 15:20:16,日用百货,全家FamilyMart,全家FamilyMart-洗漱用品,支出,38.88,余额宝,支付成功,支付宝,False
2024-12-22 13:48:34,转账红包,赵六,赵六-AA收款,支出,94.12,余额宝,支付成功,支付宝,False
2024-12-22 12:48:55,住房物业,碧桂园服务,碧桂园服务-水费,支出,40.59,余额宝,支付成功,支付宝,False
2024-12-22 11:11:30,转账,借款人,借款人-还款,收入,830.61,零钱,支付成功,微信,False
2024-12-22 09:05:30,餐饮美食,星巴克,星巴克-聚餐,支出,190.44,余额宝,支付成功,支付宝,False
2024-12-21 20:32:44,餐饮美食,麦当劳,麦当劳-聚餐,支出,112.97,余额宝,支付成功,支付宝,False
2024-12-21 17:53:21,餐饮美食,必胜客,必胜客-周末改善伙食,支出,796.88,余额宝,支付成功,支付宝,False
2024-12-21 15:43:23,餐饮美食,必胜客,必胜客-外卖订单,支出,24.66,余额宝,支付成功,支付宝,False
2024-12-21 12:50:08,住房物业,万科物业,万科物业-电费,支出,166.22,余额宝,支付成功,支付宝,False
2024-12-21 11:40:05,餐饮美食,沙县小吃,沙县小吃-夜宵,支出,12.59,余额宝,支付成功,支付宝,False
2024-12-20 17:07:13,餐饮美食,美团外卖,美团外卖-周末改善伙食,支出,31.48,余额宝,支付成功,支付宝,False
2024-12-20 16:49:33,餐饮美食,蜜雪冰城,蜜雪冰城-周末改善伙食,支出,157.29,余额宝,支付成功,支付宝,False
2024-12-20 12:06:15,商户消费,小卖部,小卖部-买水果,支出,703.07,零钱,支付成功,微信,False
2024-12-20 11:48:38,服饰装扮,唯品会,唯品会-鞋子,支出,93.66,余额宝,支付成功,支付宝,False
2024-12-19 20:01:57,收入,XX科技有限公司,XX科技有限公司-理财收益,收入,37.6,余额宝,支付成功,支付宝,False
2024-12-19 10:56:42,酒店旅游,华住会,华住会-机票,支出,1345.33,余额宝,支付成功,支付宝,False
2024-12-19 10:11:29,文化休闲,万达影城,万达影城-演唱会门票,支出,151.41,余额宝,支付成功,支付宝,False
2024-12-18 19:00:55,餐饮美食,兰州拉面,兰州拉面-早餐,支出,41.79,余额宝,支付成功,支付宝,False
2024-12-18 17:04:56,住房物业,碧桂园服务,碧桂园服务-电费,支出,618.1,余额宝,支付成功,支付宝,False
2024-12-18 16:24:25,商户消费,便利店,便利店-买早餐,支出,36.98,零钱,支付成功,微信,False
2024-12-18 14:42:56,商户消费,小卖部,小卖部-买水果,支出,112.23,零钱,支付成功,微信,False
2024-12-18 12:24:42,餐饮美食,必胜客,必胜客-工作餐,支出,31.07,余额宝,支付成功,支付宝,False
2024-12-18 04:44:48,商户消费,小卖部,小卖部-买水果,支出,37.4,零钱,支付成功,微信,False
2024-12-17 12:33:12,亲子,7-11便利店,7-11便利店-零食饮料,支出,88.37,余额宝,支付成功,支付宝,False
2024-12-17 11:33:01,商户消费,菜市场,菜市场-买菜,支出,27.12,零钱,支付成功,微信,False
2024-12-16 22:11:58,餐饮美食,蜜雪冰城,蜜雪冰城-聚餐,支出,139.02,余额宝,支付成功,支付宝,False
2024-12-16 22:07:08,服饰装扮,阿迪达斯,阿迪达斯-配饰,支出,1111.44,余额宝,支付成功,支付宝,False
2024-12-16 19:39:15,其他,水果摊,水果摊-买菜,支出,151.48,余额宝,支付成功,支付宝,False
2024-12-16 18:06:26,交通出行,美团单车,美团单车-回家车票,支出,12.42,余额宝,支付成功,支付宝,False
2024-12-16 14:25:08,交通出行,中国石化,中国石化-共享单车,支出,18.45,余额宝,支付成功,支付宝,False
2024-12-16 12:56:33,美容美发,审美造型,审美造型-染发,支出,807.63,余额宝,支付成功,支付宝,False
2024-12-16 09:34:45,餐饮美食,饿了么,饿了么-聚餐,支出,8.39,余额宝,支付成功,支付宝,False
2024-12-15 19:47:41,交通出行,滴滴出行,滴滴出行-停车费,支出,101.24,余额宝,支付成功,支付宝,False
2024-12-15 14:30:00,收入,XX科技有限公司,工资,收入,15000.0,银行卡,支付成功,支付宝,False
2024-12-14 18:33:24,转账,房东,房东-还款,支出,273.58,零钱,支付成功,微信,False
2024-12-14 13:54:04,收入,XX科技有限公司,XX科技有限公司-理财收益,收入,27.01,余额宝,支付成功,支付宝,False
2024-12-13 21:20:23,日用百货,淘宝购物,淘宝购物-洗漱用品,支出,75.51,余额宝,支付成功,支付宝,False
2024-12-13 20:25:59,充值缴费,中国电信,中国电信-会员订阅,支出,24.14,余额宝,支付成功,支付宝,False
2024-12-13 20:19:41,日用百货,家乐福,家乐福-购买生活用品,支出,76.44,余额宝,支付成功,支付宝,False
2024-12-13 19:19:15,收入,XX科技有限公司,XX科技有限公司-奖金,收入,148.14,余额宝,支付成功,支付宝,False
2024-12-13 17:04:58,宠物,名创优品,名创优品-纸巾湿巾,支出,191.97,余额宝,支付成功,支付宝,False
2024-12-13 15:03:31,商户消费,小卖部,小卖部-买早餐,支出,45.37,零钱,支付成功,微信,False
2024-12-12 16:32:55,美容美发,完美日记,完美日记-理发,支出,198.8,余额宝,支付成功,支付宝,False
2024-12-12 13:20:40,转账红包,赵六,赵六-借款还款,支出,109.09,余额宝,支付成功,支付宝,False
2024-12-12 13:13:23,充值缴费,中国移动,中国移动-宽带续费,支出,82.22,余额宝,支付成功,支付宝,False
2024-12-12 11:52:08,收入,银行利息,银行利息-奖金,收入,719.27,余额宝,支付成功,支付宝,False
2024-12-12 11:45:45,转账,房东,房东-转账,收入,127.88,零钱,支付成功,微信,False
2024-12-11 19:21:29,餐饮美食,海底捞,海底捞-早餐,支出,138.3,余额宝,支付成功,支付宝,False
2024-12-11 19:13:12,商户消费,菜市场,菜市场-零钱支付,支出,42.73,零钱,支付成功,微信,False
2024-12-11 18:23:16,交通出行,哈啰单车,哈啰单车-地铁充值,支出,375.06,余额宝,支付成功,支付宝,False
2024-12-11 18:15:03,日用百货,淘宝购物,淘宝购物-购买生活用品,支出,327.68,余额宝,支付成功,支付宝,False
2024-12-11 15:22:20,服饰装扮,阿迪达斯,阿迪达斯-运动装备,支出,177.78,余额宝,支付成功,支付宝,False
2024-12-11 14:32:42,群收款,班级群,班级群-AA分摊,支出,565.68,零钱,支付成功,微信,False
2024-12-11 13:31:40,日用百货,沃尔玛,沃尔玛-超市购物,支出,168.47,余额宝,支付成功,支付宝,False
2024-12-11 11:56:15,住房物业,自来水公司,自来水公司-物业费,支出,178.3,余额宝,支付成功,支付宝,False
2024-12-11 09:13:29,扫二维码付款,打印店,打印店-扫码支付,支出,28.02,零钱,支付成功,微信,False
2024-12-10 18:47:02,转账红包,张三,张三-AA收款,支出,155.14,余额宝,支付成功,支付宝,False
2024-12-10 17:46:41,转账,朋友,朋友-房租,支出,149.93,零钱,支付成功,微信,False
2024-12-10 16:33:57,酒店旅游,去哪儿网,去哪儿网-度假,支出,711.83,余额宝,支付成功,支付宝,False
2024-12-10 14:41:09,家居家装,7-11便利店,7-11便利店-零食饮料,支出,54.69,余额宝,支付成功,支付宝,False
2024-12-10 11:29:03,餐饮美食,蜜雪冰城,蜜雪冰城-聚餐,支出,41.83,余额宝,支付成功,支付宝,False
2024-12-09 16:47:40,美容美发,震轩美容美发,震轩美容美发-染发,支出,95.15,余额宝,支付成功,支付宝,False
2024-12-09 10:57:28,美容美发,震轩美容美发,震轩美容美发-化妆品,支出,679.04,余额宝,支付成功,支付宝,False
2024-12-09 10:28:46,医疗健康,海王星辰,海王星辰-挂号费,支出,25.79,余额宝,支付成功,支付宝,False
2024-12-08 22:09:04,餐饮美食,星巴克,星巴克-外卖订单,支出,12.24,余额宝,支付成功,支付宝,False
2024-12-08 13:09:56,商户消费,早餐车,早餐车-零钱支付,支出,31.54,零钱,支付成功,微信,False
2024-12-07 20:24:59,医疗健康,海王星辰,海王星辰-体检,支出,32.67,余额宝,支付成功,支付宝,False
2024-12-07 19:52:53,服饰装扮,H&M,H&M-换季衣服,支出,242.06,余额宝,支付成功,支付宝,False
2024-12-07 19:25:50,转账,朋友,朋友-还款,支出,97.81,零钱,支付成功,微信,False
2024-12-07 19:12:32,商户消费,早餐车,早餐车-买早餐,支出,139.2,零钱,支付成功,微信,False
2024-12-07 16:19:01,日用百货,家乐福,家乐福-洗漱用品,支出,29.47,余额宝,支付成功,支付宝,False
2024-12-07 03:03:01,充值缴费,中国联通,中国联通-流量包,支出,460.21,余额宝,支付成功,支付宝,False
2024-12-06 19:54:11,亲子,淘宝购物,淘宝购物-纸巾湿巾,支出,167.6,余额宝,支付成功,支付宝,False
2024-12-06 19:48:04,餐饮美食,瑞幸咖啡,瑞幸咖啡-工作餐,支出,43.07,余额宝,支付成功,支付宝,False
2024-12-06 18:27:03,收入,银行利息,银行利息-工资发放,收入,119.75,余额宝,支付成功,支付宝,False
2024-12-06 13:36:08,商户消费,小卖部,小卖部-买菜,支出,8.09,零钱,支付成功,微信,False
2024-12-06 12:01:36,数码电器,小米之家,小米之家-耳机,支出,66.22,余额宝,支付成功,支付宝,False
2024-12-06 11:23:22,餐饮美食,饿了么,饿了么-周末改善伙食,支出,64.98,余额宝,支付成功,支付宝,False
2024-12-06 11:19:27,商户消费,便利店,便利店-买早餐,支出,48.58,零钱,支付成功,微信,False
2024-12-06 08:46:52,家居家装,全家FamilyMart,全家FamilyMart-纸巾湿巾,支出,99.16,余额宝,支付成功,支付宝,False
2024-12-05 20:00:59,转账红包,张三,张三-AA收款,支出,162.1,余额宝,支付成功,支付宝,False
2024-12-05 19:09:34,美容美发,丝芙兰,丝芙兰-染发,支出,65.8,余额宝,支付成功,支付宝,False
2024-12-05 18:21:30,餐饮美食,蜜雪冰城,蜜雪冰城-外卖订单,支出,20.97,余额宝,支付成功,支付宝,False
2024-12-05 18:16:28,宠物,7-11便利店,7-11便利店-零食饮料,支出,48.43,余额宝,支付成功,支付宝,False
2024-12-05 17:34:25,转账,房东,房东-房租,支出,133.18,零钱,支付成功,微信,False
2024-12-05 17:27:57,收入,银行利息,银行利息-二手出售,收入,98.2,余额宝,支付成功,支付宝,False
2024-12-05 14:37:01,餐饮美食,美团外卖,美团外卖-下午茶,支出,16.07,余额宝,支付成功,支付宝,False
2024-12-05 12:35:37,餐饮美食,必胜客,必胜客-外卖订单,支出,125.77,余额宝,支付成功,支付宝,False
2024-12-05 12:19:22,转账,朋友,朋友-转账,收入,32.05,零钱,支付成功,微信,False
2024-12-05 11:30:31,商户消费,早餐车,早餐车-买菜,支出,30.89,零钱,支付成功,微信,False
2024-12-05 09:38:31,餐饮美食,沙县小吃,沙县小吃-周末改善伙食,支出,34.5,余额宝,支付成功,支付宝,False
2024-12-05 04:36:28,扫二维码付款,小吃店,小吃店-付款,支出,3.65,零钱,支付成功,微信,False
2024-12-04 23:15:47,商户消费,菜市场,菜市场-零钱支付,支出,32.88,零钱,支付成功,微信,False
2024-12-04 16:30:19,交通出行,公交公司,公交公司-地铁充值,支出,3.71,余额宝,支付成功,支付宝,False
2024-12-04 07:46:34,收入,闲鱼买家,闲鱼买家-工资发放,收入,152.23,余额宝,支付成功,支付宝,False
2024-12-03 20:57:58,日用百货,沃尔玛,沃尔玛-纸巾湿巾,支出,79.54,余额宝,支付成功,支付宝,False
2024-12-03 18:03:27,商户消费,早餐车,早餐车-买早餐,支出,38.5,零钱,支付成功,微信,False
2024-12-03 16:15:42,餐饮美食,肯德基,肯德基-聚餐,支出,91.28,余额宝,支付成功,支付宝,False
2024-12-03 16:07:18,餐饮美食,沙县小吃,沙县小吃-聚餐,支出,36.15,余额宝,支付成功,支付宝,False
2024-12-03 11:50:49,商户消费,水果摊,水果摊-零钱支付,支出,37.4,零钱,支付成功,微信,False
2024-12-03 11:35:39,住房物业,房东,房东-宽带费,支出,31.27,余额宝,支付成功,支付宝,False
2024-12-03 09:05:00,收入,XX科技有限公司,XX科技有限公司-工资发放,收入,689.26,余额宝,支付成功,支付宝,False
2024-12-03 04:54:29,餐饮美食,蜜雪冰城,蜜雪冰城-聚餐,支出,29.29,余额宝,支付成功,支付宝,False
2024-12-02 22:24:28,餐饮美食,沙县小吃,沙县小吃-工作餐,支出,5.59,余额宝,支付成功,支付宝,False
2024-12-02 20:41:12,扫二维码付款,出租车,出租车-扫码支付,支出,4.5,零钱,支付成功,微信,False
2024-12-02 16:52:35,日用百货,名创优品,名创优品-纸巾湿巾,支出,397.59,余额宝,支付成功,支付宝,False
2024-12-02 14:05:08,餐饮美食,海底捞,海底捞-外卖订单,支出,20.6,余额宝,支付成功,支付宝,False
2024-12-02 12:09:55,交通出行,公交公司,公交公司-加油,支出,8.01,余额宝,支付成功,支付宝,False
2024-12-02 12:00:20,商户消费,早餐车,早餐车-买水果,支出,11.33,零钱,支付成功,微信,False
2024-12-02 08:01:00,充值缴费,中国联通,中国联通-流量包,支出,933.53,余额宝,支付成功,支付宝,False
2024-12-01 21:48:42,交通出行,T3出行,T3出行-回家车票,支出,9.02,余额宝,支付成功,支付宝,False
2024-12-01 19:21:42,商户消费,水果摊,水果摊-零钱支付,支出,35.37,零钱,支付成功,微信,False
2024-12-01 09:00:00,住房物业,房东,房租,支出,4500.0,银行卡,支付成功,支付宝,False
2024-11-30 18:32:37,商户消费,小卖部,小卖部-买菜,支出,65.53,零钱,支付成功,微信,False
2024-11-30 17:18:24,服饰装扮,H&M,H&M-换季衣服,支出,294.01,余额宝,支付成功,支付宝,False
2024-11-30 12:26:53,数码电器,小米之家,小米之家-耳机,支出,439.2,余额宝,支付成功,支付宝,False
2024-11-30 09:25:56,服饰装扮,唯品会,唯品会-配饰,支出,1162.89,余额宝,支付成功,支付宝,False
2024-11-29 21:41:06,交通出行,滴滴出行,滴滴出行-回家车票,支出,23.02,余额宝,支付成功,支付宝,False
2024-11-29 21:04:27,群收款,旅游群,旅游群-AA分摊,支出,145.94,零钱,支付成功,微信,False
2024-11-29 19:50:33,商户消费,水果摊,水果摊-买早餐,支出,16.91,零钱,支付成功,微信,False
2024-11-29 18:19:30,交通出行,公交公司,公交公司-打车上班,支出,8.67,余额宝,支付成功,支付宝,False
2024-11-29 12:56:26,餐饮美食,瑞幸咖啡,瑞幸咖啡-聚餐,支出,163.61,余额宝,支付成功,支付宝,False
2024-11-29 11:08:04,扫二维码付款,打印店,打印店-扫码支付,支出,47.36,零钱,支付成功,微信,False
2024-11-29 10:35:13,商户消费,水果摊,水果摊-买水果,支出,32.67,零钱,支付成功,微信,False
2024-11-28 22:36:49,日用百货,罗森,罗森-超市购物,支出,67.39,余额宝,支付成功,支付宝,False
2024-11-28 21:00:58,住房物业,自来水公司,自来水公司-电费,支出,53.72,余额宝,支付成功,支付宝,False
2024-11-28 19:16:15,酒店旅游,携程旅行,携程旅行-订酒店,支出,1386.32,余额宝,支付成功,支付宝,False
2024-11-27 21:16:49,转账,房东,房东-房租,收入,56.0,零钱,支付成功,微信,False
2024-11-27 20:19:38,充值缴费,腾讯视频,腾讯视频-宽带续费,支出,697.57,余额宝,支付成功,支付宝,False
2024-11-27 15:10:08,餐饮美食,星巴克,星巴克-周末改善伙食,支出,147.24,余额宝,支付成功,支付宝,False
2024-11-27 14:27:43,充值缴费,爱奇艺,爱奇艺-宽带续费,支出,110.92,余额宝,支付成功,支付宝,False
2024-11-27 10:32:17,爱车养车,4S店,4S店-维修,支出,169.75,余额宝,支付成功,支付宝,False
2024-11-26 17:06:17,转账,房东,房东-房租,支出,45.32,零钱,支付成功,微信,False
2024-11-26 16:02:42,群收款,班级群,班级群-活动费,支出,44.57,零钱,支付成功,微信,False
2024-11-26 12:49:41,住房物业,碧桂园服务,碧桂园服务-水费,支出,43.29,余额宝,支付成功,支付宝,False
2024-11-25 20:36:09,交通出行,公交公司,公交公司-加油,支出,15.51,余额宝,支付成功,支付宝,False
2024-11-25 17:08:57,酒店旅游,飞猪旅行,飞猪旅行-机票,支出,2730.18,余额宝,支付成功,支付宝,False
2024-11-25 14:06:33,扫二维码付款,路边摊,路边摊-扫码支付,支出,27.36,零钱,支付成功,微信,False
2024-11-25 10:25:15,餐饮美食,喜茶,喜茶-下午茶,支出,10.74,余额宝,支付成功,支付宝,False
2024-11-25 09:01:17,餐饮美食,兰州拉面,兰州拉面-夜宵,支出,12.41,余额宝,支付成功,支付宝,False
2024-11-25 08:51:15,扫二维码付款,打印店,打印店-扫码支付,支出,18.76,零钱,支付成功,微信,False
2024-11-24 18:50:12,商户消费,水果摊,水果摊-零钱支付,支出,44.39,零钱,支付成功,微信,False
2024-11-24 18:38:20,收入,闲鱼买家,闲鱼买家-理财收益,收入,165.13,余额宝,支付成功,支付宝,False
2024-11-24 12:17:22,餐饮美食,沙县小吃,沙县小吃-外卖订单,支出,695.35,余额宝,支付成功,支付宝,False
2024-11-24 10:53:54,微信红包,家人,家人-大吉大利,支出,1.59,零钱,支付成功,微信,False
2024-11-24 08:38:16,微信红包,微信好友,微信好友-恭喜发财,支出,139.2,零钱,支付成功,微信,False
2024-11-23 20:58:26,餐饮美食,兰州拉面,兰州拉面-下午茶,支出,120.52,余额宝,支付成功,支付宝,False
2024-11-23 19:54:06,商户消费,小卖部,小卖部-买早餐,支出,47.92,零钱,支付成功,微信,False
2024-11-23 16:13:13,餐饮美食,星巴克,星巴克-周末改善伙食,支出,45.04,余额宝,支付成功,支付宝,False
2024-11-23 11:58:44,美容美发,完美日记,完美日记-理发,支出,197.89,余额宝,支付成功,支付宝,False
2024-11-22 20:57:56,扫二维码付款,路边摊,路边摊-付款,支出,10.43,零钱,支付成功,微信,False
2024-11-22 17:13:48,餐饮美食,星巴克,星巴克-外卖订单,支出,7.2,余额宝,支付成功,支付宝,False
2024-11-22 15:24:48,日用百货,罗森,罗森-零食饮料,支出,23.93,余额宝,支付成功,支付宝,False
2024-11-22 12:54:53,商户消费,早餐车,早餐车-买菜,支出,47.71,零钱,支付成功,微信,False
2024-11-22 12:07:28,餐饮美食,蜜雪冰城,蜜雪冰城-下午茶,支出,6.35,余额宝,支付成功,支付宝,False
2024-11-22 09:01:54,餐饮美食,瑞幸咖啡,瑞幸咖啡-早餐,支出,31.37,余额宝,支付成功,支付宝,False
2024-11-21 19:58:18,交通出行,中国石化,中国石化-共享单车,支出,12.76,余额宝,支付成功,支付宝,False
2024-11-21 18:14:40,充值缴费,百度网盘,百度网盘-宽带续费,支出,52.54,余额宝,支付成功,支付宝,False
2024-11-21 17:03:23,餐饮美食,喜茶,喜茶-聚餐,支出,27.11,余额宝,支付成功,支付宝,False
2024-11-21 14:10:49,其他,便利店,便利店-零钱支付,支出,160.91,余额宝,支付成功,支付宝,False
2024-11-21 12:02:43,扫二维码付款,小吃店,小吃店-付款,支出,15.28,零钱,支付成功,微信,False
2024-11-21 11:44:11,餐饮美食,蜜雪冰城,蜜雪冰城-夜宵,支出,120.15,余额宝,支付成功,支付宝,False
2024-11-21 08:43:03,扫二维码付款,出租车,出租车-扫码支付,支出,78.62,零钱,支付成功,微信,False
2024-11-20 20:24:01,餐饮美食,兰州拉面,兰州拉面-周末改善伙食,支出,17.01,余额宝,支付成功,支付宝,False
2024-11-20 19:45:53,文化休闲,网鱼网咖,网鱼网咖-游戏充值,支出,120.43,余额宝,支付成功,支付宝,False
2024-11-20 16:41:12,酒店旅游,亚朵酒店,亚朵酒店-度假,支出,2807.27,余额宝,支付成功,支付宝,False
2024-11-20 14:04:57,餐饮美食,麦当劳,麦当劳-夜宵,支出,43.18,余额宝,支付成功,支付宝,False
2024-11-20 11:58:04,收入,银行利息,银行利息-二手出售,收入,257.48,余额宝,支付成功,支付宝,False
2024-11-20 10:45:40,爱车养车,4S店,4S店-保险,支出,848.14,余额宝,支付成功,支付宝,False
2024-11-20 10:31:23,扫二维码付款,打印店,打印店-扫码支付,支出,177.34,零钱,支付成功,微信,False
2024-11-20 10:00:45,转账,房东,房东-转账,支出,26.1,零钱,支付成功,微信,False
2024-11-20 09:33:51,扫二维码付款,打印店,打印店-付款,支出,14.26,零钱,支付成功,微信,False
2024-11-19 18:03:43,交通出行,哈啰单车,哈啰单车-共享单车,支出,17.96,余额宝,支付成功,支付宝,False
2024-11-19 11:48:56,收入,闲鱼买家,闲鱼买家-二手出售,收入,181.82,余额宝,支付成功,支付宝,False
2024-11-19 11:46:06,转账,借款人,借款人-房租,支出,101.47,零钱,支付成功,微信,False
2024-11-18 20:54:06,餐饮美食,必胜客,必胜客-外卖订单,支出,100.24,余额宝,支付成功,支付宝,False
2024-11-18 13:19:11,餐饮美食,美团外卖,美团外卖-外卖订单,支出,7.9,余额宝,支付成功,支付宝,False
2024-11-17 21:33:41,交通出行,美团单车,美团单车-打车上班,支出,47.21,余额宝,支付成功,支付宝,False
2024-11-17 21:28:19,商户消费,小卖部,小卖部-买水果,支出,314.86,零钱,支付成功,微信,False
2024-11-17 19:07:13,家居家装,淘宝购物,淘宝购物-纸巾湿巾,支出,141.17,余额宝,支付成功,支付宝,False
2024-11-17 18:38:05,餐饮美食,兰州拉面,兰州拉面-外卖订单,支出,133.37,余额宝,支付成功,支付宝,False
2024-11-17 18:17:43,交通出行,公交公司,公交公司-地铁充值,支出,19.67,余额宝,支付成功,支付宝,False
2024-11-17 17:28:20,商户消费,便利店,便利店-买菜,支出,40.88,零钱,支付成功,微信,False
2024-11-17 16:38:58,扫二维码付款,小吃店,小吃店-扫码支付,支出,11.59,零钱,支付成功,微信,False
2024-11-17 16:24:24,餐饮美食,饿了么,饿了么-工作餐,支出,40.27,余额宝,支付成功,支付宝,False
2024-11-17 12:11:09,扫二维码付款,路边摊,路边摊-扫码支付,支出,103.82,零钱,支付成功,微信,False
2024-11-17 08:32:03,运动户外,罗森,罗森-零食饮料,支出,292.79,余额宝,支付成功,支付宝,False
2024-11-16 21:18:40,日用百货,全家FamilyMart,全家FamilyMart-纸巾湿巾,支出,50.98,余额宝,支付成功,支付宝,False
2024-11-16 20:52:28,餐饮美食,美团外卖,美团外卖-工作餐,支出,42.19,余额宝,支付成功,支付宝,False
2024-11-16 19:16:24,收入,银行利息,银行利息-奖金,收入,56.23,余额宝,支付成功,支付宝,False
2024-11-16 18:05:58,亲子,淘宝购物,淘宝购物-零食饮料,支出,177.03,余额宝,支付成功,支付宝,False
2024-11-16 17:05:20,交通出行,T3出行,T3出行-打车上班,支出,6.62,余额宝,支付成功,支付宝,False
2024-11-16 10:37:40,餐饮美食,肯德基,肯德基-聚餐,支出,131.47,余额宝,支付成功,支付宝,False
2024-11-16 08:10:13,餐饮美食,瑞幸咖啡,瑞幸咖啡-周末改善伙食,支出,105.56,余额宝,支付成功,支付宝,False
2024-11-15 23:40:08,住房物业,自来水公司,自来水公司-房租,支出,193.11,余额宝,支付成功,支付宝,False
2024-11-15 21:28:03,酒店旅游,华住会,华住会-景点门票,支出,1193.55,余额宝,支付成功,支付宝,False
2024-11-15 19:04:39,扫二维码付款,路边摊,路边摊-扫码支付,支出,22.39,零钱,支付成功,微信,False
2024-11-15 17:00:03,商户消费,小卖部,小卖部-零钱支付,支出,81.99,零钱,支付成功,微信,False
2024-11-15 15:57:51,酒店旅游,飞猪旅行,飞猪旅行-机票,支出,2117.18,余额宝,支付成功,支付宝,False
2024-11-15 14:30:00,收入,XX科技有限公司,工资,收入,15000.0,银行卡,支付成功,支付宝,False
